Tue 30 Jul 13:55:24 BST 2024

# packages in environment at /mnt/scratchc/bioinformatics/sawle01/software/miniforge3/envs/R:
#
# Name                    Version                   Build  Channel
bioconductor-gosemsim     2.28.0            r43hf17093f_0    bioconda
bioconductor-graph        1.80.0            r43ha9d7317_0    bioconda
bioconductor-gseabase     1.64.0            r43hdfd78af_0    bioconda
bioconductor-gsva         1.50.0            r43ha9d7317_1    bioconda
bioconductor-hdf5array    1.30.0            r43ha9d7317_0    bioconda
bioconductor-hdo.db       0.99.1            r43hdfd78af_2    bioconda
bioconductor-impute       1.76.0            r43h9913872_1    bioconda
bioconductor-interactivedisplaybase 1.40.0            r43hdfd78af_0    bioconda
bioconductor-iranges      2.36.0            r43ha9d7317_1    bioconda
bioconductor-kegggraph    1.62.0            r43hdfd78af_0    bioconda
bioconductor-keggrest     1.42.0            r43hdfd78af_0    bioconda
bioconductor-limma        3.58.1            r43ha9d7317_0    bioconda
bioconductor-marray       1.80.0            r43hdfd78af_0    bioconda
bioconductor-matrixgenerics 1.14.0            r43hdfd78af_1    bioconda
bioconductor-metapod      1.10.0            r43hf17093f_1    bioconda
bioconductor-milor        1.10.0            r43hdfd78af_0    bioconda
bioconductor-mscoreutils  1.14.1            r43hf17093f_0    bioconda
bioconductor-msigdb       1.10.0            r43hdfd78af_0    bioconda
bioconductor-msnbase      2.28.1            r43hf17093f_0    bioconda
bioconductor-mzid         1.40.0            r43hdfd78af_0    bioconda
bioconductor-mzr          2.36.0            r43hf17093f_0    bioconda
bioconductor-org.hs.eg.db 3.18.0            r43hdfd78af_0    bioconda
bioconductor-org.mm.eg.db 3.18.0            r43hdfd78af_0    bioconda
bioconductor-pathview     1.42.0            r43hdfd78af_0    bioconda
bioconductor-pcamethods   1.94.0            r43hf17093f_0    bioconda
bioconductor-pcatools     2.14.0            r43hf17093f_0    bioconda
bioconductor-preprocesscore 1.64.0            r43ha9d7317_1    bioconda
bioconductor-protgenerics 1.34.0            r43hdfd78af_0    bioconda
bioconductor-qdnaseq      1.38.0            r43hdfd78af_0    bioconda
bioconductor-qplexanalyzer 1.20.0            r43hdfd78af_0    bioconda
bioconductor-qvalue       2.34.0            r43hdfd78af_0    bioconda
bioconductor-rgraphviz    2.46.0            r43hf17093f_0    bioconda
bioconductor-rhdf5        2.46.1            r43hf17093f_0    bioconda
bioconductor-rhdf5filters 1.14.1            r43hf17093f_0    bioconda
bioconductor-rhdf5lib     1.24.0            r43ha9d7317_1    bioconda
bioconductor-rhtslib      2.4.0             r43ha9d7317_1    bioconda
bioconductor-rrvgo        1.14.0            r43hdfd78af_0    bioconda
bioconductor-rsamtools    2.18.0            r43hf17093f_1    bioconda
bioconductor-rtracklayer  1.62.0            r43ha9d7317_0    bioconda
bioconductor-s4arrays     1.2.0             r43ha9d7317_1    bioconda
bioconductor-s4vectors    0.40.2            r43ha9d7317_1    bioconda
bioconductor-scaledmatrix 1.10.0            r43hdfd78af_0    bioconda
bioconductor-scater       1.30.1            r43hdfd78af_0    bioconda
bioconductor-scran        1.30.0            r43hf17093f_1    bioconda
bioconductor-scuttle      1.12.0            r43hf17093f_0    bioconda
bioconductor-singlecellexperiment 1.24.0            r43hdfd78af_0    bioconda
bioconductor-sparsearray  1.2.2             r43ha9d7317_1    bioconda
bioconductor-sparsematrixstats 1.14.0            r43hf17093f_0    bioconda
bioconductor-summarizedexperiment 1.32.0            r43hdfd78af_0    bioconda
bioconductor-treeio       1.26.0            r43hdfd78af_1    bioconda
bioconductor-tximport     1.30.0            r43hdfd78af_1    bioconda
bioconductor-velociraptor 1.12.0            r43hdfd78af_0    bioconda
bioconductor-vsn          3.70.0            r43ha9d7317_0    bioconda
bioconductor-xvector      0.42.0            r43ha9d7317_1    bioconda
bioconductor-zellkonverter 1.12.1            r43hdfd78af_0    bioconda
bioconductor-zlibbioc     1.48.0            r43ha9d7317_1    bioconda
blosc                     1.21.5               h0f2a231_0    conda-forge
bwidget                   1.9.14               ha770c72_1    conda-forge
bzip2                     1.0.8                hd590300_5    conda-forge
c-ares                    1.27.0               hd590300_0    conda-forge
ca-certificates           2024.7.4             hbcca054_0    conda-forge
cairo                     1.18.0               h3faef2a_0    conda-forge
cffi                      1.16.0          py312hf06ca03_0    conda-forge
curl                      8.7.1                hca28451_0    conda-forge
expat                     2.6.2                h59595ed_0    conda-forge
font-ttf-dejavu-sans-mono 2.37                 hab24e00_0    conda-forge
font-ttf-inconsolata      3.000                h77eed37_0    conda-forge
font-ttf-source-code-pro  2.038                h77eed37_0    conda-forge
font-ttf-ubuntu           0.83                 h77eed37_1    conda-forge
fontconfig                2.14.2               h14ed4e7_0    conda-forge
fonts-conda-ecosystem     1                             0    conda-forge
fonts-conda-forge         1                             0    conda-forge
freetype                  2.12.1               h267a509_2    conda-forge
fribidi                   1.0.10               h36c2ea0_0    conda-forge
gcc_impl_linux-64         13.2.0               h338b0a0_5    conda-forge
gettext                   0.21.1               h27087fc_0    conda-forge
gfortran_impl_linux-64    13.2.0               h76e1118_5    conda-forge
glpk                      5.0                  h445213a_0    conda-forge
gmp                       6.3.0                h59595ed_1    conda-forge
graphite2                 1.3.13            h58526e2_1001    conda-forge
gxx_impl_linux-64         13.2.0               h338b0a0_5    conda-forge
harfbuzz                  8.3.0                h3d44ed6_0    conda-forge
hdf4                      4.2.15               h2a13503_7    conda-forge
hdf5                      1.14.3          nompi_h4f84152_100    conda-forge
icu                       73.2                 h59595ed_0    conda-forge
jq                        1.5                           0    bioconda
kernel-headers_linux-64   2.6.32              he073ed8_17    conda-forge
keyutils                  1.6.1                h166bdaf_0    conda-forge
krb5                      1.21.2               h659d440_0    conda-forge
ld_impl_linux-64          2.40                 h41732ed_0    conda-forge
lerc                      4.0.0                h27087fc_0    conda-forge
libaec                    1.1.3                h59595ed_0    conda-forge
libblas                   3.9.0           21_linux64_openblas    conda-forge
libcurl                   8.7.1                hca28451_0    conda-forge
libdeflate                1.20                 hd590300_0    conda-forge
libedit                   3.1.20191231         he28a2e2_2    conda-forge
libev                     4.33                 hd590300_2    conda-forge
libexpat                  2.6.2                h59595ed_0    conda-forge
libffi                    3.4.2                h7f98852_5    conda-forge
libgcc                    7.2.0                h69d50b8_2    conda-forge
libgcc-devel_linux-64     13.2.0             ha9c7c90_105    conda-forge
libgcc-ng                 13.2.0               h807b86a_5    conda-forge
libgfortran-ng            13.2.0               h69a702a_5    conda-forge
libgfortran5              13.2.0               ha4646dd_5    conda-forge
libgit2                   1.8.0                h65212e3_0    conda-forge
libglib                   2.80.0               hf2295e7_6    conda-forge
libgomp                   13.2.0               h807b86a_5    conda-forge
libiconv                  1.17                 hd590300_2    conda-forge
libjpeg-turbo             3.0.0                hd590300_1    conda-forge
liblapack                 3.9.0           21_linux64_openblas    conda-forge
libnetcdf                 4.9.2           nompi_h9612171_113    conda-forge
libnghttp2                1.58.0               h47da74e_1    conda-forge
libnsl                    2.0.1                hd590300_0    conda-forge
libopenblas               0.3.26          pthreads_h413a1c8_0    conda-forge
libpng                    1.6.43               h2797004_0    conda-forge
libsanitizer              13.2.0               h7e041cc_5    conda-forge
libsqlite                 3.45.2               h2797004_0    conda-forge
libssh2                   1.11.0               h0841786_0    conda-forge
libstdcxx-devel_linux-64  13.2.0             ha9c7c90_105    conda-forge
libstdcxx-ng              13.2.0               h7e041cc_5    conda-forge
libtiff                   4.6.0                h1dd3fc0_3    conda-forge
libuuid                   2.38.1               h0b41bf4_0    conda-forge
libwebp-base              1.3.2                hd590300_0    conda-forge
libxcb                    1.15                 h0b41bf4_0    conda-forge
libxcrypt                 4.4.36               hd590300_1    conda-forge
libxml2                   2.12.7               hc051c1a_1    conda-forge
libzip                    1.10.1               h2629f0a_3    conda-forge
libzlib                   1.2.13               hd590300_5    conda-forge
lz4-c                     1.9.4                hcb278e6_0    conda-forge
make                      4.3                  hd18ef5c_1    conda-forge
mysql-connector-c         6.1.11            h659d440_1008    conda-forge
ncurses                   6.4.20240210         h59595ed_0    conda-forge
openssl                   3.3.1                h4bc722e_2    conda-forge
packaging                 24.0               pyhd8ed1ab_0    conda-forge
pandoc                    3.1.12.3             ha770c72_0    conda-forge
pango                     1.52.1               ha41ecd1_0    conda-forge
pcre2                     10.43                hcad00b1_0    conda-forge
pip                       24.0               pyhd8ed1ab_0    conda-forge
pixman                    0.43.2               h59595ed_0    conda-forge
prompt-toolkit            3.0.42             pyha770c72_0    conda-forge
prompt_toolkit            3.0.42               hd8ed1ab_0    conda-forge
pthread-stubs             0.4               h36c2ea0_1001    conda-forge
pycparser                 2.22               pyhd8ed1ab_0    conda-forge
pygments                  2.17.2             pyhd8ed1ab_0    conda-forge
python                    3.12.2          hab00c5b_0_cpython    conda-forge
python_abi                3.12                    4_cp312    conda-forge
pyyaml                    6.0.1           py312h98912ed_1    conda-forge
r-abind                   1.4_5           r43hc72bb7e_1005    conda-forge
r-ape                     5.7_1             r43h08d816e_1    conda-forge
r-aplot                   0.2.2             r43hc72bb7e_0    conda-forge
r-ashr                    2.2_63            r43h0d4f4ea_1    conda-forge
r-askpass                 1.2.0             r43h57805ef_0    conda-forge
r-assertthat              0.2.1             r43hc72bb7e_4    conda-forge
r-babelgene               22.9              r43hc72bb7e_2    conda-forge
r-backports               1.4.1             r43h57805ef_2    conda-forge
r-bart                    2.9.9             r43ha18555a_0    conda-forge
r-base                    4.3.3                hf0d99cb_1    conda-forge
r-base64enc               0.1_3           r43h57805ef_1006    conda-forge
r-bbmle                   1.0.25.1          r43hc72bb7e_0    conda-forge
r-bdsmatrix               1.3_7             r43h57805ef_0    conda-forge
r-beeswarm                0.4.0             r43h57805ef_3    conda-forge
r-bh                      1.84.0_0          r43hc72bb7e_0    conda-forge
r-biocmanager             1.30.22           r43hc72bb7e_0    conda-forge
r-bit                     4.0.5             r43h57805ef_1    conda-forge
r-bit64                   4.0.5             r43h57805ef_2    conda-forge
r-bitops                  1.0_7             r43h57805ef_2    conda-forge
r-blob                    1.2.4             r43hc72bb7e_1    conda-forge
r-brew                    1.0_10            r43hc72bb7e_0    conda-forge
r-brio                    1.1.4             r43h57805ef_0    conda-forge
r-broom                   1.0.5             r43hc72bb7e_1    conda-forge
r-bslib                   0.6.2             r43hc72bb7e_0    conda-forge
r-cachem                  1.0.8             r43h57805ef_1    conda-forge
r-cairo                   1.6_2             r43h4dc26e9_0    conda-forge
r-callr                   3.7.6             r43hc72bb7e_0    conda-forge
r-caret                   6.0_94            r43hdb488b9_2    conda-forge
r-catools                 1.18.2            r43ha503ecb_2    conda-forge
r-cellranger              1.1.0           r43hc72bb7e_1006    conda-forge
r-class                   7.3_22            r43h57805ef_1    conda-forge
r-cli                     3.6.2             r43ha503ecb_0    conda-forge
r-clipr                   0.8.0             r43hc72bb7e_2    conda-forge
r-clock                   0.7.0             r43ha503ecb_1    conda-forge
r-clue                    0.3_65            r43h57805ef_0    conda-forge
r-cluster                 2.1.6             r43h61816a4_0    conda-forge
r-coda                    0.19_4.1          r43hc72bb7e_0    conda-forge
r-codetools               0.2_19            r43hc72bb7e_1    conda-forge
r-collections             0.3.7             r43h57805ef_1    conda-forge
r-colorspace              2.1_0             r43h57805ef_1    conda-forge
r-commonmark              1.9.1             r43h57805ef_0    conda-forge
r-conflicted              1.2.0             r43h785f33e_1    conda-forge
r-cowplot                 1.1.3             r43hc72bb7e_0    conda-forge
r-cpp11                   0.4.7             r43hc72bb7e_0    conda-forge
r-crayon                  1.5.2             r43hc72bb7e_2    conda-forge
r-credentials             2.0.1             r43hc72bb7e_0    conda-forge
r-crosstalk               1.2.1             r43hc72bb7e_0    conda-forge
r-curl                    5.1.0             r43hf9611b0_0    conda-forge
r-cyclocomp               1.1.1             r43hc72bb7e_0    conda-forge
r-data.table              1.15.2            r43h029312a_0    conda-forge
r-dbi                     1.2.2             r43hc72bb7e_0    conda-forge
r-dbplyr                  2.4.0             r43hc72bb7e_0    conda-forge
r-deldir                  2.0_4             r43h61816a4_0    conda-forge
r-desc                    1.4.3             r43hc72bb7e_0    conda-forge
r-devtools                2.4.5             r43hc72bb7e_2    conda-forge
r-diagram                 1.6.5             r43ha770c72_2    conda-forge
r-diffobj                 0.3.5             r43h57805ef_2    conda-forge
r-digest                  0.6.35            r43ha503ecb_0    conda-forge
r-doparallel              1.0.17            r43hc72bb7e_2    conda-forge
r-dotcall64               1.1_1             r43h61816a4_0    conda-forge
r-downlit                 0.4.3             r43hc72bb7e_0    conda-forge
r-downloader              0.4             r43hc72bb7e_1005    conda-forge
r-dplyr                   1.1.4             r43ha503ecb_0    conda-forge
r-dqrng                   0.3.2             r43ha503ecb_0    conda-forge
r-dt                      0.33              r43hc72bb7e_1    conda-forge
r-dtplyr                  1.3.1             r43hc72bb7e_1    conda-forge
r-e1071                   1.7_14            r43ha503ecb_0    conda-forge
r-ellipsis                0.3.2             r43h57805ef_2    conda-forge
r-emdbook                 1.3.13            r43hc72bb7e_0    conda-forge
r-etrunct                 0.1             r43hc72bb7e_1005    conda-forge
r-evaluate                0.23              r43hc72bb7e_0    conda-forge
r-fansi                   1.0.6             r43h57805ef_0    conda-forge
r-farver                  2.1.1             r43ha503ecb_2    conda-forge
r-fastdummies             1.7.3             r43hc72bb7e_0    conda-forge
r-fastmap                 1.1.1             r43ha503ecb_1    conda-forge
r-fastmatch               1.1_4             r43h57805ef_0    conda-forge
r-filelock                1.0.3             r43h57805ef_0    conda-forge
r-fitdistrplus            1.1_11            r43hc72bb7e_1    conda-forge
r-fnn                     1.1.4             r43ha503ecb_0    conda-forge
r-fontawesome             0.5.2             r43hc72bb7e_0    conda-forge
r-forcats                 1.0.0             r43hc72bb7e_1    conda-forge
r-foreach                 1.5.2             r43hc72bb7e_2    conda-forge
r-formatr                 1.14              r43hc72bb7e_1    conda-forge
r-fs                      1.6.3             r43ha503ecb_0    conda-forge
r-furrr                   0.3.1             r43hc72bb7e_3    conda-forge
r-futile.logger           1.4.3           r43hc72bb7e_1005    conda-forge
r-futile.options          1.0.1           r43hc72bb7e_1004    conda-forge
r-future                  1.33.1            r43hc72bb7e_0    conda-forge
r-future.apply            1.11.1            r43hc72bb7e_0    conda-forge
r-gargle                  1.5.2             r43h785f33e_0    conda-forge
r-gbm                     2.2.2             r43h0d4f4ea_0    conda-forge
r-generics                0.1.3             r43hc72bb7e_2    conda-forge
r-gert                    2.0.1             r43h9b95477_1    conda-forge
r-ggbeeswarm              0.7.2             r43hc72bb7e_1    conda-forge
r-ggdendro                0.2.0             r43hc72bb7e_1    conda-forge
r-ggforce                 0.4.2             r43ha503ecb_0    conda-forge
r-ggfortify               0.4.17            r43hc72bb7e_1    conda-forge
r-ggfun                   0.1.4             r43hc72bb7e_0    conda-forge
r-ggnewscale              0.5.0             r43hc72bb7e_0    conda-forge
r-ggplot2                 3.5.0             r43hc72bb7e_0    conda-forge
r-ggplotify               0.1.2             r43hc72bb7e_0    conda-forge
r-ggraph                  2.1.0             r43ha503ecb_2    conda-forge
r-ggrastr                 1.0.2             r43hc72bb7e_1    conda-forge
r-ggrepel                 0.9.5             r43h0d4f4ea_1    conda-forge
r-ggridges                0.5.6             r43hc72bb7e_0    conda-forge
r-ggvenn                  0.1.10            r43hc72bb7e_2    conda-forge
r-gh                      1.4.0             r43hc72bb7e_1    conda-forge
r-gitcreds                0.1.2             r43hc72bb7e_2    conda-forge
r-glmnet                  4.1_8             r43ha936806_1    conda-forge
r-globals                 0.16.3            r43hc72bb7e_0    conda-forge
r-glue                    1.7.0             r43h57805ef_0    conda-forge
r-goftest                 1.2_3             r43h57805ef_2    conda-forge
r-googledrive             2.1.1             r43hc72bb7e_1    conda-forge
r-googlesheets4           1.1.1             r43h785f33e_1    conda-forge
r-gower                   1.0.1             r43h57805ef_1    conda-forge
r-gplots                  3.1.3.1           r43hc72bb7e_0    conda-forge
r-graphlayouts            1.1.0             r43ha503ecb_0    conda-forge
r-gridbase                0.4_7           r43hc72bb7e_1005    conda-forge
r-gridextra               2.3             r43hc72bb7e_1005    conda-forge
r-gridgraphics            0.5_1             r43hc72bb7e_2    conda-forge
r-gson                    0.1.0             r43hc72bb7e_1    conda-forge
r-gtable                  0.3.4             r43hc72bb7e_0    conda-forge
r-gtools                  3.9.5             r43h57805ef_0    conda-forge
r-hardhat                 1.3.1             r43hc72bb7e_0    conda-forge
r-haven                   2.5.4             r43ha503ecb_0    conda-forge
r-here                    1.0.1             r43hc72bb7e_2    conda-forge
r-hexbin                  1.28.3            r43h61816a4_1    conda-forge
r-highr                   0.11              r43hc72bb7e_0    conda-forge
r-hms                     1.1.3             r43hc72bb7e_1    conda-forge
r-htmltools               0.5.8             r43ha503ecb_0    conda-forge
r-htmlwidgets             1.6.4             r43hc72bb7e_1    conda-forge
r-httpgd                  1.3.1             r43hcce77e3_1    conda-forge
r-httpuv                  1.6.15            r43ha503ecb_0    conda-forge
r-httr                    1.4.7             r43hc72bb7e_0    conda-forge
r-httr2                   1.0.0             r43hc72bb7e_0    conda-forge
r-ica                     1.0_3             r43hc72bb7e_2    conda-forge
r-ids                     1.0.1             r43hc72bb7e_3    conda-forge
r-igraph                  2.0.2             r43hbec7d4a_0    conda-forge
r-ini                     0.3.1           r43hc72bb7e_1005    conda-forge
r-invgamma                1.1               r43hc72bb7e_3    conda-forge
r-ipred                   0.9_14            r43h57805ef_1    conda-forge
r-irlba                   2.3.5.1           r43h316c678_1    conda-forge
r-islr2                   1.3_2             r43h785f33e_2    conda-forge
r-isoband                 0.2.7             r43ha503ecb_2    conda-forge
r-iterators               1.0.14            r43hc72bb7e_2    conda-forge
r-jquerylib               0.1.4             r43hc72bb7e_2    conda-forge
r-jsonlite                1.8.8             r43h57805ef_0    conda-forge
r-kernsmooth              2.23_22           r43h13b3f57_0    conda-forge
r-knitr                   1.48              r43hc72bb7e_0    conda-forge
r-labeling                0.4.3             r43hc72bb7e_0    conda-forge
r-lambda.r                1.2.4             r43hc72bb7e_3    conda-forge
r-languageserver          0.3.16            r43h57805ef_0    conda-forge
r-later                   1.3.2             r43ha503ecb_0    conda-forge
r-lattice                 0.22_6            r43h57805ef_0    conda-forge
r-lava                    1.7.3             r43hc72bb7e_0    conda-forge
r-lazyeval                0.2.2             r43h57805ef_4    conda-forge
r-leaps                   3.2               r43hbcb9c34_1    conda-forge
r-leiden                  0.4.3.1           r43hc72bb7e_0    conda-forge
r-lifecycle               1.0.4             r43hc72bb7e_0    conda-forge
r-lintr                   3.1.2             r43hc72bb7e_0    conda-forge
r-listenv                 0.9.1             r43hc72bb7e_0    conda-forge
r-lmtest                  0.9_40            r43h61816a4_2    conda-forge
r-locfit                  1.5_9.9           r43h57805ef_0    conda-forge
r-lsei                    1.3_0             r43hd8f1df9_3    conda-forge
r-lubridate               1.9.3             r43h57805ef_0    conda-forge
r-magrittr                2.0.3             r43h57805ef_2    conda-forge
r-maldiquant              1.22.2            r43h57805ef_0    conda-forge
r-mass                    7.3_60            r43h57805ef_1    conda-forge
r-matrix                  1.6_5             r43h316c678_0    conda-forge
r-matrixstats             1.2.0             r43h57805ef_0    conda-forge
r-memoise                 2.0.1             r43hc72bb7e_2    conda-forge
r-mgcv                    1.9_1             r43h316c678_0    conda-forge
r-mime                    0.12              r43h57805ef_2    conda-forge
r-miniui                  0.1.1.1         r43hc72bb7e_1004    conda-forge
r-mixsqp                  0.3_54            r43h08d816e_0    conda-forge
r-modelmetrics            1.2.2.2           r43ha503ecb_3    conda-forge
r-modelr                  0.1.11            r43hc72bb7e_1    conda-forge
r-msigdbr                 7.5.1             r43hc72bb7e_3    conda-forge
r-munsell                 0.5.0           r43hc72bb7e_1006    conda-forge
r-mvtnorm                 1.2_4             r43hd9ac46e_0    conda-forge
r-ncdf4                   1.22              r43h5647f33_0    conda-forge
r-nlme                    3.1_164           r43h61816a4_0    conda-forge
r-nlp                     0.2_1             r43hc72bb7e_3    conda-forge
r-nnet                    7.3_19            r43h57805ef_1    conda-forge
r-npsurv                  0.5_0             r43hc72bb7e_2    conda-forge
r-numderiv                2016.8_1.1        r43hc72bb7e_5    conda-forge
r-openssl                 2.1.1             r43hb353fa6_0    conda-forge
r-parallelly              1.37.1            r43h57805ef_0    conda-forge
r-patchwork               1.2.0             r43hc72bb7e_1    conda-forge
r-pbapply                 1.7_2             r43hc72bb7e_0    conda-forge
r-pheatmap                1.0.12            r43hc72bb7e_5    conda-forge
r-pillar                  1.9.0             r43hc72bb7e_1    conda-forge
r-pkgbuild                1.4.4             r43hc72bb7e_0    conda-forge
r-pkgconfig               2.0.3             r43hc72bb7e_3    conda-forge
r-pkgdown                 2.0.7             r43hc72bb7e_1    conda-forge
r-pkgload                 1.3.4             r43hc72bb7e_0    conda-forge
r-plogr                   0.2.0           r43hc72bb7e_1005    conda-forge
r-plotly                  4.10.4            r43hc72bb7e_1    conda-forge
r-pls                     2.8_3             r43hc72bb7e_1    conda-forge
r-plyr                    1.8.9             r43ha503ecb_0    conda-forge
r-png                     0.1_8             r43h81d01c5_1    conda-forge
r-polyclip                1.10_6            r43ha503ecb_0    conda-forge
r-praise                  1.0.0           r43hc72bb7e_1007    conda-forge
r-prettyunits             1.2.0             r43hc72bb7e_0    conda-forge
r-proc                    1.18.5            r43ha503ecb_0    conda-forge
r-processx                3.8.4             r43h57805ef_0    conda-forge
r-prodlim                 2023.08.28        r43ha503ecb_0    conda-forge
r-profvis                 0.3.8             r43h57805ef_3    conda-forge
r-progress                1.2.3             r43hc72bb7e_0    conda-forge
r-progressr               0.14.0            r43hc72bb7e_0    conda-forge
r-promises                1.2.1             r43ha503ecb_0    conda-forge
r-proxy                   0.4_27            r43h57805ef_2    conda-forge
r-ps                      1.7.6             r43h57805ef_0    conda-forge
r-purrr                   1.0.2             r43h57805ef_0    conda-forge
r-r.cache                 0.16.0            r43hc72bb7e_2    conda-forge
r-r.methodss3             1.8.2             r43hc72bb7e_2    conda-forge
r-r.oo                    1.26.0            r43hc72bb7e_0    conda-forge
r-r.utils                 2.12.3            r43hc72bb7e_0    conda-forge
r-r6                      2.5.1             r43hc72bb7e_2    conda-forge
r-ragg                    1.3.0             r43h73ae6e3_0    conda-forge
r-randomforest            4.7_1.1           r43hbcb9c34_3    conda-forge
r-rann                    2.6.1             r43ha503ecb_4    conda-forge
r-rappdirs                0.3.3             r43h57805ef_2    conda-forge
r-rcmdcheck               1.4.0             r43h785f33e_2    conda-forge
r-rcolorbrewer            1.1_3             r43h785f33e_2    conda-forge
r-rcpp                    1.0.12            r43h7df8631_0    conda-forge
r-rcppannoy               0.0.22            r43ha503ecb_0    conda-forge
r-rcpparmadillo           0.12.8.1.0        r43h08d816e_0    conda-forge
r-rcppeigen               0.3.4.0.0         r43h08d816e_0    conda-forge
r-rcpphnsw                0.6.0             r43ha503ecb_0    conda-forge
r-rcppml                  0.3.7             r43ha503ecb_1    conda-forge
r-rcppnumerical           0.6_0             r43ha503ecb_0    conda-forge
r-rcppprogress            0.4.2             r43hc72bb7e_3    conda-forge
r-rcpptoml                0.2.2             r43ha503ecb_1    conda-forge
r-rcurl                   1.98_1.14         r43hf9611b0_0    conda-forge
r-readr                   2.1.5             r43ha503ecb_0    conda-forge
r-readxl                  1.4.3             r43he58e087_1    conda-forge
r-recipes                 1.0.10            r43hc72bb7e_0    conda-forge
r-rematch                 2.0.0             r43hc72bb7e_0    conda-forge
r-rematch2                2.1.2             r43hc72bb7e_3    conda-forge
r-remotes                 2.5.0             r43hc72bb7e_0    conda-forge
r-repr                    1.1.7             r43h785f33e_0    conda-forge
r-reprex                  2.1.0             r43hc72bb7e_0    conda-forge
r-reshape2                1.4.4             r43ha503ecb_3    conda-forge
r-restfulr                0.0.15            r43h56115f1_3    bioconda
r-reticulate              1.35.0            r43ha503ecb_0    conda-forge
r-rex                     1.2.1             r43hc72bb7e_2    conda-forge
r-rjson                   0.2.21            r43ha503ecb_3    conda-forge
r-rlang                   1.1.3             r43ha503ecb_0    conda-forge
r-rmarkdown               2.26              r43hc72bb7e_0    conda-forge
r-rmysql                  0.10.27           r43hdb488b9_1    conda-forge
r-rocr                    1.0_11            r43hc72bb7e_3    conda-forge
r-roxygen2                7.3.1             r43ha503ecb_0    conda-forge
r-rpart                   4.1.23            r43h57805ef_0    conda-forge
r-rprojroot               2.0.4             r43hc72bb7e_0    conda-forge
r-rspectra                0.16_1            r43h08d816e_2    conda-forge
r-rsqlite                 2.3.4             r43ha503ecb_0    conda-forge
